ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers,slice_factor
nfcorpus,5.0774946212768555,0.7,0,7,1
nfcorpus,5.0647313594818115,0.7,0,8,1
nfcorpus,5.1271631717681885,0.7,0,9,1
nfcorpus,5.04104208946228,0.7,0,10,1
nfcorpus,5.346808195114136,0.7,0,11,1
nfcorpus,5.297900915145874,0.7,0,12,1
nfcorpus,5.170809984207153,0.7,0,13,1
nfcorpus,5.057863473892212,0.7,0,14,1
nfcorpus,5.096661567687988,0.7,0,15,1
nfcorpus,15.205394506454468,0.7,0,1,3
nfcorpus,8.100345611572266,0.7,0,2,3
nfcorpus,6.363248348236084,0.7,0,3,3
nfcorpus,5.971071481704712,0.7,0,4,3
nfcorpus,5.723093509674072,0.7,0,5,3
nfcorpus,5.4859418869018555,0.7,0,6,3
nfcorpus,5.620517730712891,0.7,0,7,3
nfcorpus,5.6162989139556885,0.7,0,8,3
nfcorpus,5.727472305297852,0.7,0,9,3
nfcorpus,5.97096586227417,0.7,0,10,3
nfcorpus,6.129786729812622,0.7,0,11,3
nfcorpus,6.319680690765381,0.7,0,12,3
nfcorpus,6.541992902755737,0.7,0,13,3
nfcorpus,6.735872983932495,0.7,0,14,3
nfcorpus,6.887458324432373,0.7,0,15,3
nfcorpus,14.51344108581543,0.7,0,1,5
nfcorpus,8.440192699432373,0.7,0,2,5
nfcorpus,6.395571231842041,0.7,0,3,5
nfcorpus,6.206911325454712,0.7,0,4,5
nfcorpus,6.169816017150879,0.7,0,5,5
nfcorpus,6.194919586181641,0.7,0,6,5
nfcorpus,6.282330751419067,0.7,0,7,5
nfcorpus,6.584150791168213,0.7,0,8,5
nfcorpus,6.965099811553955,0.7,0,9,5
nfcorpus,7.204776048660278,0.7,0,10,5
nfcorpus,7.511115312576294,0.7,0,11,5
nfcorpus,7.830269813537598,0.7,0,12,5
nfcorpus,8.317612886428833,0.7,0,13,5
nfcorpus,8.513468742370605,0.7,0,14,5
nfcorpus,8.752784252166748,0.7,0,15,5
nfcorpus,15.112710952758789,0.7,0,1,7
nfcorpus,8.760934591293335,0.7,0,2,7
nfcorpus,6.925573348999023,0.7,0,3,7
nfcorpus,6.48348069190979,0.7,0,4,7
nfcorpus,7.1116063594818115,0.7,0,5,7
nfcorpus,6.954570531845093,0.7,0,6,7
nfcorpus,7.253352403640747,0.7,0,7,7
nfcorpus,7.5665459632873535,0.7,0,8,7
nfcorpus,8.13169240951538,0.7,0,9,7
nfcorpus,8.482042074203491,0.7,0,10,7
nfcorpus,8.966704368591309,0.7,0,11,7
nfcorpus,9.385981798171997,0.7,0,12,7
nfcorpus,9.882778406143188,0.7,0,13,7
nfcorpus,10.528532028198242,0.7,0,14,7
nfcorpus,11.312246322631836,0.7,0,15,7
nfcorpus,14.949071645736694,0.7,0,1,9
nfcorpus,9.868957757949829,0.7,0,2,9
nfcorpus,7.791187047958374,0.7,0,3,9
nfcorpus,7.462519884109497,0.7,0,4,9
nfcorpus,7.456691741943359,0.7,0,5,9
nfcorpus,7.741717100143433,0.7,0,6,9
nfcorpus,8.233197927474976,0.7,0,7,9
nfcorpus,8.816800355911255,0.7,0,8,9
nfcorpus,9.245545625686646,0.7,0,9,9
nfcorpus,10.104885816574097,0.7,0,10,9
nfcorpus,10.659186363220215,0.7,0,11,9
nfcorpus,11.3178231716156,0.7,0,12,9
nfcorpus,12.703762531280518,0.7,0,13,9
nfcorpus,14.948038339614868,0.7,0,14,9
nfcorpus,16.762423992156982,0.7,0,15,9
nfcorpus,16.788654327392578,0.8,0,1,1
nfcorpus,6.0278379917144775,0.8,0,2,1
nfcorpus,4.453754901885986,0.8,0,3,1
nfcorpus,4.556454420089722,0.8,0,4,1
nfcorpus,3.9789061546325684,0.8,0,5,1
nfcorpus,3.8981010913848877,0.8,0,6,1
nfcorpus,3.6424906253814697,0.8,0,7,1
nfcorpus,3.6793904304504395,0.8,0,8,1
nfcorpus,3.739924907684326,0.8,0,9,1
nfcorpus,3.8123717308044434,0.8,0,10,1
nfcorpus,3.8549578189849854,0.8,0,11,1
nfcorpus,3.8194313049316406,0.8,0,12,1
nfcorpus,3.8584048748016357,0.8,0,13,1
nfcorpus,3.9545419216156006,0.8,0,14,1
nfcorpus,4.011098146438599,0.8,0,15,1
nfcorpus,10.26568865776062,0.8,0,1,3
nfcorpus,5.832017183303833,0.8,0,2,3
nfcorpus,4.642321825027466,0.8,0,3,3
nfcorpus,4.767913341522217,0.8,0,4,3
nfcorpus,4.370142221450806,0.8,0,5,3
nfcorpus,4.235509395599365,0.8,0,6,3
nfcorpus,4.301565170288086,0.8,0,7,3
nfcorpus,4.50124716758728,0.8,0,8,3
nfcorpus,4.688053131103516,0.8,0,9,3
nfcorpus,4.744048833847046,0.8,0,10,3
nfcorpus,5.1561667919158936,0.8,0,11,3
nfcorpus,5.326352834701538,0.8,0,12,3
nfcorpus,5.455770969390869,0.8,0,13,3
nfcorpus,5.609104633331299,0.8,0,14,3
nfcorpus,5.783180475234985,0.8,0,15,3
nfcorpus,10.47705078125,0.8,0,1,5
nfcorpus,6.248999357223511,0.8,0,2,5
nfcorpus,5.12026834487915,0.8,0,3,5
nfcorpus,4.9224207401275635,0.8,0,4,5
nfcorpus,5.031240940093994,0.8,0,5,5
nfcorpus,4.903244733810425,0.8,0,6,5
nfcorpus,5.258941888809204,0.8,0,7,5
nfcorpus,5.516671895980835,0.8,0,8,5
nfcorpus,5.801940202713013,0.8,0,9,5
nfcorpus,5.9732043743133545,0.8,0,10,5
nfcorpus,6.4679999351501465,0.8,0,11,5
nfcorpus,6.782670974731445,0.8,0,12,5
nfcorpus,7.141451120376587,0.8,0,13,5
nfcorpus,7.414897441864014,0.8,0,14,5
nfcorpus,7.675095558166504,0.8,0,15,5
nfcorpus,10.665391206741333,0.8,0,1,7
nfcorpus,6.590720891952515,0.8,0,2,7
nfcorpus,5.479431390762329,0.8,0,3,7
nfcorpus,5.578867435455322,0.8,0,4,7
nfcorpus,5.619499206542969,0.8,0,5,7
nfcorpus,5.864585876464844,0.8,0,6,7
nfcorpus,6.110177755355835,0.8,0,7,7
nfcorpus,6.5007264614105225,0.8,0,8,7
nfcorpus,6.95246434211731,0.8,0,9,7
nfcorpus,7.441439628601074,0.8,0,10,7
nfcorpus,7.874956846237183,0.8,0,11,7
nfcorpus,8.318216562271118,0.8,0,12,7
nfcorpus,8.873877048492432,0.8,0,13,7
nfcorpus,9.252802610397339,0.8,0,14,7
nfcorpus,9.685636758804321,0.8,0,15,7
nfcorpus,11.14325213432312,0.8,0,1,9
nfcorpus,7.126239061355591,0.8,0,2,9
nfcorpus,5.962650299072266,0.8,0,3,9
nfcorpus,6.04870080947876,0.8,0,4,9
nfcorpus,6.246325492858887,0.8,0,5,9
nfcorpus,6.429205656051636,0.8,0,6,9
nfcorpus,7.041512966156006,0.8,0,7,9
nfcorpus,7.484532594680786,0.8,0,8,9
nfcorpus,8.18116283416748,0.8,0,9,9
nfcorpus,8.812779188156128,0.8,0,10,9
nfcorpus,9.310868263244629,0.8,0,11,9
nfcorpus,9.962602853775024,0.8,0,12,9
nfcorpus,10.55284571647644,0.8,0,13,9
nfcorpus,10.952125787734985,0.8,0,14,9
nfcorpus,11.597599267959595,0.8,0,15,9
nfcorpus,12.798864603042603,0.9,0,1,1
nfcorpus,4.281187534332275,0.9,0,2,1
nfcorpus,3.371178150177002,0.9,0,3,1
nfcorpus,3.4799962043762207,0.9,0,4,1
nfcorpus,3.046088933944702,0.9,0,5,1
nfcorpus,2.912769317626953,0.9,0,6,1
nfcorpus,2.9028327465057373,0.9,0,7,1
nfcorpus,2.8355634212493896,0.9,0,8,1
nfcorpus,2.880525827407837,0.9,0,9,1
nfcorpus,2.95210862159729,0.9,0,10,1
nfcorpus,3.0245521068573,0.9,0,11,1
nfcorpus,2.969740152359009,0.9,0,12,1
